parameter,output,spearman_rho,p_value
n_perv,max_depth_J437-S,-0.2286,0.0
slope%,max_depth_J437-S,0.155,0.0005
dstore_imperv_in,max_depth_J437-S,-0.0388,0.3864
dstore_perv_in,max_depth_J437-S,0.0274,0.541
IMD,max_depth_J437-S,-0.0238,0.5961
%Imperv,max_depth_J438-S,0.5587,0.0
SubcatchWidth,max_depth_J438-S,0.4688,0.0
n_perv,max_depth_J438-S,-0.3791,0.0
n_imperv,max_depth_J438-S,-0.2387,0.0
slope%,max_depth_J438-S,0.1998,0.0
dstore_imperv_in,max_depth_J438-S,-0.0319,0.476
IMD,max_depth_J438-S,-0.0242,0.5895
dstore_perv_in,max_depth_J438-S,-0.0026,0.9541
%Imperv,max_depth_J45-S,0.5413,0.0
SubcatchWidth,max_depth_J45-S,0.4682,0.0
n_imperv,max_depth_J45-S,-0.4034,0.0
slope%,max_depth_J45-S,0.181,0.0
n_perv,max_depth_J45-S,-0.1274,0.0043
IMD,max_depth_J45-S,-0.1062,0.0176
dstore_perv_in,max_depth_J45-S,-0.0688,0.1244
dstore_imperv_in,max_depth_J45-S,0.0084,0.8506
n_perv,max_depth_J450-S,-0.5755,0.0
SubcatchWidth,max_depth_J450-S,0.4841,0.0
%Imperv,max_depth_J450-S,0.4016,0.0
slope%,max_depth_J450-S,0.2253,0.0
n_imperv,max_depth_J450-S,-0.1255,0.0049
dstore_perv_in,max_depth_J450-S,-0.1228,0.006
dstore_imperv_in,max_depth_J450-S,-0.0308,0.4916
IMD,max_depth_J450-S,-0.0175,0.6963
%Imperv,max_depth_J456-S,0.6968,0.0
SubcatchWidth,max_depth_J456-S,0.3692,0.0
n_perv,max_depth_J456-S,-0.2691,0.0
n_imperv,max_depth_J456-S,-0.1996,0.0
slope%,max_depth_J456-S,0.1531,0.0006
dstore_imperv_in,max_depth_J456-S,-0.0422,0.3462
IMD,max_depth_J456-S,-0.0319,0.4762
dstore_perv_in,max_depth_J456-S,-0.0038,0.9318
%Imperv,max_depth_J46-S,0.6325,0.0
SubcatchWidth,max_depth_J46-S,0.4323,0.0
n_perv,max_depth_J46-S,-0.268,0.0
n_imperv,max_depth_J46-S,-0.2621,0.0
slope%,max_depth_J46-S,0.1773,0.0001
dstore_imperv_in,max_depth_J46-S,-0.0343,0.4442
IMD,max_depth_J46-S,-0.027,0.5464
dstore_perv_in,max_depth_J46-S,0.0257,0.566
SubcatchWidth,max_depth_J460-S,0.499,0.0
%Imperv,max_depth_J460-S,0.4742,0.0
n_perv,max_depth_J460-S,-0.4671,0.0
slope%,max_depth_J460-S,0.2205,0.0
n_imperv,max_depth_J460-S,-0.1964,0.0
IMD,max_depth_J460-S,-0.0763,0.0883
dstore_perv_in,max_depth_J460-S,-0.0428,0.3396
dstore_imperv_in,max_depth_J460-S,-0.0245,0.5852
%Imperv,max_depth_J461-S,0.5317,0.0
SubcatchWidth,max_depth_J461-S,0.4843,0.0
n_perv,max_depth_J461-S,-0.3794,0.0
n_imperv,max_depth_J461-S,-0.2497,0.0
slope%,max_depth_J461-S,0.2028,0.0
IMD,max_depth_J461-S,-0.0503,0.2619
dstore_imperv_in,max_depth_J461-S,-0.0367,0.4129
dstore_perv_in,max_depth_J461-S,-0.0117,0.7948
%Imperv,max_depth_J471-S,0.6561,0.0
SubcatchWidth,max_depth_J471-S,0.4015,0.0
n_imperv,max_depth_J471-S,-0.3977,0.0
slope%,max_depth_J471-S,0.1483,0.0009
IMD,max_depth_J471-S,-0.1167,0.009
dstore_perv_in,max_depth_J471-S,-0.0634,0.1566
dstore_imperv_in,max_depth_J471-S,0.0048,0.9155
n_perv,max_depth_J471-S,-0.0011,0.9809
%Imperv,max_depth_J480-S,0.6476,0.0
SubcatchWidth,max_depth_J480-S,0.4149,0.0
n_imperv,max_depth_J480-S,-0.2848,0.0
n_perv,max_depth_J480-S,-0.213,0.0
slope%,max_depth_J480-S,0.1686,0.0002
dstore_imperv_in,max_depth_J480-S,-0.0352,0.4317
dstore_perv_in,max_depth_J480-S,0.0326,0.4677
IMD,max_depth_J480-S,-0.0292,0.5151
%Imperv,max_depth_J484-S,0.5232,0.0
SubcatchWidth,max_depth_J484-S,0.4822,0.0
n_perv,max_depth_J484-S,-0.42,0.0
n_imperv,max_depth_J484-S,-0.2241,0.0
slope%,max_depth_J484-S,0.2103,0.0
IMD,max_depth_J484-S,-0.0339,0.4488
dstore_imperv_in,max_depth_J484-S,-0.0336,0.4533
dstore_perv_in,max_depth_J484-S,0.013,0.7713
%Imperv,max_depth_J49-S,0.565,0.0
n_perv,max_depth_J49-S,-0.4447,0.0
SubcatchWidth,max_depth_J49-S,0.4437,0.0
slope%,max_depth_J49-S,0.194,0.0
n_imperv,max_depth_J49-S,-0.1643,0.0002
dstore_imperv_in,max_depth_J49-S,-0.0373,0.4047
IMD,max_depth_J49-S,-0.0287,0.5213
dstore_perv_in,max_depth_J49-S,-0.0035,0.9379
%Imperv,max_depth_J491-S,0.5386,0.0
SubcatchWidth,max_depth_J491-S,0.478,0.0
n_perv,max_depth_J491-S,-0.4066,0.0
n_imperv,max_depth_J491-S,-0.2271,0.0
slope%,max_depth_J491-S,0.2082,0.0
IMD,max_depth_J491-S,-0.032,0.4748
dstore_imperv_in,max_depth_J491-S,-0.0301,0.5014
dstore_perv_in,max_depth_J491-S,0.0096,0.8297
%Imperv,max_depth_J492-S,0.6371,0.0
SubcatchWidth,max_depth_J492-S,0.4292,0.0
n_imperv,max_depth_J492-S,-0.2633,0.0
n_perv,max_depth_J492-S,-0.2587,0.0
slope%,max_depth_J492-S,0.1744,0.0001
dstore_imperv_in,max_depth_J492-S,-0.0363,0.4174
IMD,max_depth_J492-S,-0.0278,0.5347
dstore_perv_in,max_depth_J492-S,0.0258,0.5647
%Imperv,max_depth_J5-S,0.5475,0.0
n_perv,max_depth_J5-S,-0.482,0.0
SubcatchWidth,max_depth_J5-S,0.4436,0.0
slope%,max_depth_J5-S,0.1946,0.0
n_imperv,max_depth_J5-S,-0.1351,0.0025
dstore_imperv_in,max_depth_J5-S,-0.0398,0.3742
IMD,max_depth_J5-S,-0.0315,0.4818
dstore_perv_in,max_depth_J5-S,-0.0141,0.7538
%Imperv,max_depth_J50-S,0.5926,0.0
SubcatchWidth,max_depth_J50-S,0.4356,0.0
n_perv,max_depth_J50-S,-0.406,0.0
slope%,max_depth_J50-S,0.1863,0.0
n_imperv,max_depth_J50-S,-0.1816,0.0
